sID,Bangla,IPA,Dekhabet,Tokens
13796,তবে আমার মনটা খারাপ থাকতো,t̪ɔ.be a.mar mon.ta kʰa.rap t̪ʰak.t̪o ,tobe amar monta kharap thakto ,"[11, 4, 8, 2, 0, 1, 14, 1, 16, 0, 14, 4, 15, 11, 1, 0, 18, 9, 1, 16, 1, 7, 0, 11, 9, 1, 18, 11, 4, 0]"
13798,এই কষ্টটাই আমাকে পোড়াতো,ei kɔʃ.to.tai a.ma.ke po.ɾa.t̪o ,ei koshtotai amake porato ,"[2, 3, 0, 18, 4, 21, 11, 4, 11, 1, 3, 0, 1, 14, 1, 18, 2, 0, 7, 4, 16, 1, 11, 4, 0]"
13810,আমি তখন রোজা,a.mi t̪ɔ.kʰon ro.ɟa ,ami tokhon roja ,"[1, 14, 3, 0, 11, 4, 18, 9, 4, 15, 0, 16, 4, 12, 1, 0]"
13812,কেউ আটকায়নি,keu at.kaj.ni ,keu atkaeni ,"[18, 2, 5, 0, 1, 11, 18, 1, 2, 15, 3, 0]"
13813,কারা ছিল তারা,ka.ra cʰi.lo t̪a.ra ,kara chhilo tara ,"[18, 1, 16, 1, 0, 20, 9, 3, 13, 4, 0, 11, 1, 16, 1, 0]"
13814,শুরুতে কেউ কিছু বলেনি,ʃu.ru.t̪e keu ki.cʰu bɔ.le.ni ,shurute keu kichhu boleni ,"[21, 5, 16, 5, 11, 2, 0, 18, 2, 5, 0, 18, 3, 20, 9, 5, 0, 8, 4, 13, 2, 15, 3, 0]"
13820,কথাও বলেছেন,kɔ.t̪ʰa.o bo.le.cʰen ,kothao bolechhen ,"[18, 4, 11, 9, 1, 4, 0, 8, 4, 13, 2, 20, 9, 2, 15, 0]"
13825,আমি বলেছি দেবো (হেসে),a.mi bo.le.cʰi d̪e.bo he.ʃe ,ami bolechhi debo heshe ,"[1, 14, 3, 0, 8, 4, 13, 2, 20, 9, 3, 0, 17, 2, 8, 4, 0, 9, 2, 21, 2, 0]"
13836,বলার মতো কোনো ঘটনা না,bɔ.lar mɔ.t̪o ko.no gʰɔ.to.na na ,bolar moto kono ghotona na ,"[8, 4, 13, 1, 16, 0, 14, 4, 11, 4, 0, 18, 4, 15, 4, 0, 6, 9, 4, 11, 4, 15, 1, 0, 15, 1, 0]"
13844,আপনার সঙ্গে কেউ দেখা করেনি,ap.nar ʃɔŋ.ge keu d̪æ.kʰa kɔ.re.ni ,apnar shongge keu dekha koreni ,"[1, 7, 15, 1, 16, 0, 21, 4, 19, 6, 2, 0, 18, 2, 5, 0, 17, 2, 18, 9, 1, 0, 18, 4, 16, 2, 15, 3, 0]"
13851,এমনকি উকিলের সঙ্গেও না,æ.mon.ki u.ki.ler ʃɔŋ.geo na ,emonki ukiler shonggeo na ,"[2, 14, 4, 15, 18, 3, 0, 5, 18, 3, 13, 2, 16, 0, 21, 4, 19, 6, 2, 4, 0, 15, 1, 0]"
13852,পরিস্থিতি বদলালো কিভাবে,po.ris.t̪ʰi.t̪i bɔd̪.la.lo ki.bʰa.be ,poristhiti bodlalo kibhabe ,"[7, 4, 16, 3, 10, 11, 9, 3, 11, 3, 0, 8, 4, 17, 13, 1, 13, 4, 0, 18, 3, 8, 9, 1, 8, 2, 0]"
13862,উনার সঙ্গে দেখা করতে গিয়েছিলাম,u.nar ʃɔŋ.ge d̪æ.kʰa kor.t̪e gi.je.cʰi.lam ,unar shongge dekha korte gieechhilam ,"[5, 15, 1, 16, 0, 21, 4, 19, 6, 2, 0, 17, 2, 18, 9, 1, 0, 18, 4, 16, 11, 2, 0, 6, 3, 2, 2, 20, 9, 3, 13, 1, 14, 0]"
13863,উনি আমাকে শুভেচ্ছা জানিয়েছেন,u.ni a.ma.ke ʃu.bʰec.cʰa ɟa.ni.je.cʰen ,uni amake shubhechchha janieechhen ,"[5, 15, 3, 0, 1, 14, 1, 18, 2, 0, 21, 5, 8, 9, 2, 20, 20, 9, 1, 0, 12, 1, 15, 3, 2, 2, 20, 9, 2, 15, 0]"
13865,কার্টুন আঁকেন আর,kaɾ.tun ã.ken ar ,kartun aken ar ,"[18, 1, 16, 11, 5, 15, 0, 1, 18, 2, 15, 0, 1, 16, 0]"
13869,তবে একদিন নিশ্চয়ই তারা ছাপবে,t̪ɔ.be æk.d̪in niʃ.coi t̪a.ra cʰap.be ,tobe ekdin nishchoi tara chhapbe ,"[11, 4, 8, 2, 0, 2, 18, 17, 3, 15, 0, 15, 3, 21, 20, 4, 3, 0, 11, 1, 16, 1, 0, 20, 9, 1, 7, 8, 2, 0]"
13873,আপনি কি এখন নিরাপদ,ap.ni ki æ.kʰon ni.ra.pɔd̪ ,apni ki ekhon nirapod ,"[1, 7, 15, 3, 0, 18, 3, 0, 2, 18, 9, 4, 15, 0, 15, 3, 16, 1, 7, 4, 17, 0]"
13876,আমি সহজে কোথাও যাই না,a.mi ʃɔ.ho.ɟe ko.t̪ʰa.o ɟai na ,ami shohoje kothao jai na ,"[1, 14, 3, 0, 21, 4, 9, 4, 12, 2, 0, 18, 4, 11, 9, 1, 4, 0, 12, 1, 3, 0, 15, 1, 0]"
13878,তারপরও আমি স্বস্তিতে নেই,t̪ar.pɔr.o a.mi ʃos.t̪i.t̪e nei ,tarporo ami shostite nei ,"[11, 1, 16, 7, 4, 16, 4, 0, 1, 14, 3, 0, 21, 4, 10, 11, 3, 11, 2, 0, 15, 2, 3, 0]"
13882,মনে হয় না,mo.ne hɔj na ,mone hoe na ,"[14, 4, 15, 2, 0, 9, 4, 2, 0, 15, 1, 0]"
13888,তাদের মনে কি আছে জানি না,t̪a.d̪er mo.ne ki a.cʰe ɟa.ni na ,tader mone ki achhe jani na ,"[11, 1, 17, 2, 16, 0, 14, 4, 15, 2, 0, 18, 3, 0, 1, 20, 9, 2, 0, 12, 1, 15, 3, 0, 15, 1, 0]"
13896,ছবি: মুস্তাফিজ মামুন,cʰo.bi mus.t̪a.pʰiɟ ma.mun ,chhobi mustaphij mamun ,"[20, 9, 4, 8, 3, 0, 14, 5, 10, 11, 1, 7, 9, 3, 12, 0, 14, 1, 14, 5, 15, 0]"
13898,সম্পাদকীয়,ʃɔm.pa.d̪ɔ.ki.o ,shompadokio ,"[21, 4, 14, 7, 1, 17, 4, 18, 3, 4, 0]"
13910,এটি দুঃখজনক ঘটনা,e.ti d̪uk.kʰo.ɟɔ.nok gʰɔ.to.na ,eti dukkhojonok ghotona ,"[2, 11, 3, 0, 17, 5, 18, 18, 9, 4, 12, 4, 15, 4, 18, 0, 6, 9, 4, 11, 4, 15, 1, 0]"
13918,ডাকবন্ধু,dak.bɔn.d̪ʰu ,dakbondhu ,"[17, 1, 18, 8, 4, 15, 17, 9, 5, 0]"
13919,শুধু সংবাদ নয়,ʃu.d̪ʰu ʃɔŋ.bad̪ nɔj ,shudhu shongbad noe ,"[21, 5, 17, 9, 5, 0, 21, 4, 19, 8, 1, 17, 0, 15, 4, 2, 0]"
13938,বিনয়ের সঙ্গে বললাম কেন,bi.nɔ.jer ʃɔŋ.ge bol.lam kæ.no ,binoeer shongge bollam keno ,"[8, 3, 15, 4, 2, 2, 16, 0, 21, 4, 19, 6, 2, 0, 8, 4, 13, 13, 1, 14, 0, 18, 2, 15, 4, 0]"
13946,অভিনন্দন সাপ্তাহিক,o.bʰi.nɔn.d̪on ʃap.t̪a.hik ,obhinondon shaptahik ,"[4, 8, 9, 3, 15, 4, 15, 17, 4, 15, 0, 21, 1, 7, 11, 1, 9, 3, 18, 0]"
13949,যেন সহজেই পাই,ɟe.no ʃɔ.ho.ɟei pai ,jeno shohojei pai ,"[12, 2, 15, 4, 0, 21, 4, 9, 4, 12, 2, 3, 0, 7, 1, 3, 0]"
13961,তাজুল ইসলাম মাসুদ,t̪a.ɟul is.lam ma.sud̪ ,tajul islam masud ,"[11, 1, 12, 5, 13, 0, 3, 10, 13, 1, 14, 0, 14, 1, 10, 5, 17, 0]"
13963,নিজের পথেই হাঁটবে,ni.ɟer pɔ.t̪ʰei hãt.be ,nijer pothei hatbe ,"[15, 3, 12, 2, 16, 0, 7, 4, 11, 9, 2, 3, 0, 9, 1, 11, 8, 2, 0]"
13977,কারণ অজ্ঞাত,ka.ron ɔg.gæ̃.t̪o ,karon oggeto ,"[18, 1, 16, 4, 15, 0, 4, 6, 6, 2, 11, 4, 0]"
13978,আমরা বিচিত্রাকেও দেখেছি,am.ra bi.cit̪.t̪ra.keo d̪e.kʰe.cʰi ,amra bichittrakeo dekhechhi ,"[1, 14, 16, 1, 0, 8, 3, 20, 3, 11, 11, 16, 1, 18, 2, 4, 0, 17, 2, 18, 9, 2, 20, 9, 3, 0]"
13987,"সংবাদকর্মী, রাজবাড়ী",ʃɔŋ.bad̪.kor.mi raɟ.ba.ɾi ,shongbadkormi rajbari ,"[21, 4, 19, 8, 1, 17, 18, 4, 16, 14, 3, 0, 16, 1, 12, 8, 1, 16, 3, 0]"
13988,দুর্ভোগের শেষ নেই,d̪ur.bʰo.ger ʃeʃ nei ,durbhoger shesh nei ,"[17, 5, 16, 8, 9, 4, 6, 2, 16, 0, 21, 2, 21, 0, 15, 2, 3, 0]"
14005,এর মুক্তি কোথায়,er muk.t̪i ko.t̪ʰaj ,er mukti kothae ,"[2, 16, 0, 14, 5, 18, 11, 3, 0, 18, 4, 11, 9, 1, 2, 0]"
14017,সিফাত রেজা,si.pʰat̪ re.ɟa ,siphat reja ,"[10, 3, 7, 9, 1, 11, 0, 16, 2, 12, 1, 0]"
14023,"""কিন্তু এখানে বেড খালি পড়ে থাকে""",kin.t̪u e.kʰa.ne bed kʰa.li pɔ.ɾe t̪ʰa.ke ,kintu ekhane bed khali pore thake ,"[18, 3, 15, 11, 5, 0, 2, 18, 9, 1, 15, 2, 0, 8, 2, 17, 0, 18, 9, 1, 13, 3, 0, 7, 4, 16, 2, 0, 11, 9, 1, 18, 2, 0]"
14025,রেফার’ করার আতঙ্ক,re.pʰar kɔ.rar a.t̪ɔŋ.ko ,rephar korar atongko ,"[16, 2, 7, 9, 1, 16, 0, 18, 4, 16, 1, 16, 0, 1, 11, 4, 19, 18, 4, 0]"
14032,তাই এই হাসপাতালে আছি,t̪ai ei haʃ.pa.t̪a.le a.cʰi ,tai ei hashpatale achhi ,"[11, 1, 3, 0, 2, 3, 0, 9, 1, 21, 7, 1, 11, 1, 13, 2, 0, 1, 20, 9, 3, 0]"
14033,সিটের জন্য গেছিলাম,si.ter ɟon.no ge.cʰi.lam ,siter jonno gechhilam ,"[10, 3, 11, 2, 16, 0, 12, 4, 15, 15, 4, 0, 6, 2, 20, 9, 3, 13, 1, 14, 0]"
14034,কইছে সিট নাই,koi.cʰe sit nai ,koichhe sit nai ,"[18, 4, 3, 20, 9, 2, 0, 10, 3, 11, 0, 15, 1, 3, 0]"
14047,দুষ্টচক্রের দৌরাত্ম্য,d̪uʃ.to.cɔk.rer d̪ou.rat̪.t̪õ ,dushtochokrer douratto ,"[17, 5, 21, 11, 4, 20, 4, 18, 16, 2, 16, 0, 17, 4, 5, 16, 1, 11, 11, 4, 0]"
14074,ক্লিনিক বাণিজ্য রমরমা,kli.nik ba.niɟ.ɟo rɔm.rɔ.ma ,klinik banijjo romroma ,"[18, 13, 3, 15, 3, 18, 0, 8, 1, 15, 3, 12, 12, 4, 0, 16, 4, 14, 16, 4, 14, 1, 0]"
14106,প্রশাসনের বক্তব্য,pro.ʃa.ʃɔ.ner bɔk.t̪ob.bo ,proshashoner boktobbo ,"[7, 16, 4, 21, 1, 21, 4, 15, 2, 16, 0, 8, 4, 18, 11, 4, 8, 8, 4, 0]"
14118,সাইমন মোহসিন,sai.mɔn mo.ho.sin ,saimon mohosin ,"[10, 1, 3, 14, 4, 15, 0, 14, 4, 9, 4, 10, 3, 15, 0]"
14127,ভাবতে অবাকই লাগে,bʰab.t̪e ɔ.bak.i la.ge ,bhabte obaki lage ,"[8, 9, 1, 8, 11, 2, 0, 4, 8, 1, 18, 3, 0, 13, 1, 6, 2, 0]"
14140,শুরুর কাহিনী,ʃu.rur ka.hi.ni ,shurur kahini ,"[21, 5, 16, 5, 16, 0, 18, 1, 9, 3, 15, 3, 0]"
14151,মধ্যবর্তী মহাকাব্য,mod̪.d̪ʰo.bort̪.t̪i mɔ.ha.kab.bo ,moddhobortti mohakabbo ,"[14, 4, 17, 17, 9, 4, 8, 4, 16, 11, 11, 3, 0, 14, 4, 9, 1, 18, 1, 8, 8, 4, 0]"
14169,শেষ ভালো যার...,ʃeʃ bʰa.lo ɟar ,shesh bhalo jar ,"[21, 2, 21, 0, 8, 9, 1, 13, 4, 0, 12, 1, 16, 0]"
14193,পান্থ রহমান রেজা,pan.t̪ʰo rɔ.ho.man re.ɟa ,pantho rohoman reja ,"[7, 1, 15, 11, 9, 4, 0, 16, 4, 9, 4, 14, 1, 15, 0, 16, 2, 12, 1, 0]"
14209,কোথা থেকে এসেছিল ব্যাঙগুলো,ko.t̪ʰa t̪ʰe.ke e.ʃe.cʰi.lo bæŋ.gu.lo ,kotha theke eshechhilo benggulo ,"[18, 4, 11, 9, 1, 0, 11, 9, 2, 18, 2, 0, 2, 21, 2, 20, 9, 3, 13, 4, 0, 8, 2, 19, 6, 5, 13, 4, 0]"
14210,কী হতে পারে এর ব্যাখ্যা,ki ho.t̪e pa.re er bæk.kʰa ,ki hote pare er bekkha ,"[18, 3, 0, 9, 4, 11, 2, 0, 7, 1, 16, 2, 0, 2, 16, 0, 8, 2, 18, 18, 9, 1, 0]"
14211,উত্তর জানা যায়নি আজও,ut̪.t̪or ɟa.na ɟaj.ni aɟ.o ,uttor jana jaeni ajo ,"[5, 11, 11, 4, 16, 0, 12, 1, 15, 1, 0, 12, 1, 2, 15, 3, 0, 1, 12, 4, 0]"
14229,ইয়েতি কি সত্যিই আছে,i.je.t̪i ki ʃot̪.t̪i.i a.cʰe ,ieeti ki shottii achhe ,"[3, 2, 2, 11, 3, 0, 18, 3, 0, 21, 4, 11, 11, 3, 3, 0, 1, 20, 9, 2, 0]"
14244,কাজের খুব চাপ,ka.ɟer kʰub cap ,kajer khub chap ,"[18, 1, 12, 2, 16, 0, 18, 9, 5, 8, 0, 20, 1, 7, 0]"
14251,একেই বলে ইনটুইশন,e.kei bo.le in.tui.ʃon ,ekei bole intuishon ,"[2, 18, 2, 3, 0, 8, 4, 13, 2, 0, 3, 15, 11, 5, 3, 21, 4, 15, 0]"
14260,এ রহস্যের সমাধান কী,e rɔ.hoʃ.ʃer ʃɔ.ma.d̪ʰan ki ,e rohoshsher shomadhan ki ,"[2, 0, 16, 4, 9, 4, 21, 21, 2, 16, 0, 21, 4, 14, 1, 17, 9, 1, 15, 0, 18, 3, 0]"
14261,উত্তর মেলেনি,ut̪.t̪or me.le.ni ,uttor meleni ,"[5, 11, 11, 4, 16, 0, 14, 2, 13, 2, 15, 3, 0]"
14265,সেদিন জানা যাবে আসল ঘটনা,ʃe.d̪in ɟa.na ɟa.be a.ʃol gʰɔ.to.na ,shedin jana jabe ashol ghotona ,"[21, 2, 17, 3, 15, 0, 12, 1, 15, 1, 0, 12, 1, 8, 2, 0, 1, 21, 4, 13, 0, 6, 9, 4, 11, 4, 15, 1, 0]"
14268,রসনা,rɔ.ʃo.na ,roshona ,"[16, 4, 21, 4, 15, 1, 0]"
14270,ইটালিয়ান ড্রামস্ট্রিক,i.ta.li.jan dram.strik ,italiean dramstrik ,"[3, 11, 1, 13, 3, 2, 1, 15, 0, 17, 16, 1, 14, 10, 11, 16, 3, 18, 0]"
14275,মোরগ ৪ টুকরো করুন,mo.rog car tuk.ro ko.run ,morog char tukro korun ,"[14, 4, 16, 4, 6, 0, 20, 1, 16, 0, 11, 5, 18, 16, 4, 0, 18, 4, 16, 5, 15, 0]"
14281,বুলগেরিয়ান কোল্ড সালাদ,bul.ge.ri.jan kold sa.lad̪ ,bulgeriean kold salad ,"[8, 5, 13, 6, 2, 16, 3, 2, 1, 15, 0, 18, 4, 13, 17, 0, 10, 1, 13, 1, 17, 0]"
14288,ফ্রিজে রেখে ঠান্ডা করুন,pʰri.ɟe re.kʰe tʰan.da ko.run ,phrije rekhe thanda korun ,"[7, 9, 16, 3, 12, 2, 0, 16, 2, 18, 9, 2, 0, 11, 9, 1, 15, 17, 1, 0, 18, 4, 16, 5, 15, 0]"
14291,এরাবিয়ান হানি চিকেন,æ.ra.bi.jan ha.ni ci.ken ,erabiean hani chiken ,"[2, 16, 1, 8, 3, 2, 1, 15, 0, 9, 1, 15, 3, 0, 20, 3, 18, 2, 15, 0]"
14294,প্রণালী,pro.na.li ,pronali ,"[7, 16, 4, 15, 1, 13, 3, 0]"
14296,এক ঘণ্টা ভিজিয়ে রাখতে হবে,æk gʰɔn.ta bʰi.ɟi.je rakʰ.t̪e hɔ.be ,ek ghonta bhijiee rakhte hobe ,"[2, 18, 0, 6, 9, 4, 15, 11, 1, 0, 8, 9, 3, 12, 3, 2, 2, 0, 16, 1, 18, 9, 11, 2, 0, 9, 4, 8, 2, 0]"
14299,মাঝে মাঝে হালকা নাড়ুন,ma.ɟʰe ma.ɟʰe hal.ka na.ɾun ,majhe majhe halka narun ,"[14, 1, 12, 9, 2, 0, 14, 1, 12, 9, 2, 0, 9, 1, 13, 18, 1, 0, 15, 1, 16, 5, 15, 0]"
14301,পেঁয়াজ দিন,pẽ.aɟ d̪in ,peaj din ,"[7, 2, 1, 12, 0, 17, 3, 15, 0]"
14306,সিদ্দিকা কবীর,sid̪.d̪i.ka ko.bir ,siddika kobir ,"[10, 3, 17, 17, 3, 18, 1, 0, 18, 4, 8, 3, 16, 0]"
14314,এখন গরম,æ.kʰon gɔ.rom ,ekhon gorom ,"[2, 18, 9, 4, 15, 0, 6, 4, 16, 4, 14, 0]"
14318,খাবে আগ্রহ নিয়ে,kʰa.be ag.gro.ho ni.je ,khabe aggroho niee ,"[18, 9, 1, 8, 2, 0, 1, 6, 6, 16, 4, 9, 4, 0, 15, 3, 2, 2, 0]"
14322,পা ঠ কে র  রে সি পি,pa tʰɔ ke rɔ re si pi ,pa tho ke ro re si pi ,"[7, 1, 0, 11, 9, 4, 0, 18, 2, 0, 16, 4, 0, 16, 2, 0, 10, 3, 0, 7, 3, 0]"
14331,রেসিপি পাঠাবার ঠিকানা,re.si.pi pa.tʰa.bar tʰi.ka.na ,resipi pathabar thikana ,"[16, 2, 10, 3, 7, 3, 0, 7, 1, 11, 9, 1, 8, 1, 16, 0, 11, 9, 3, 18, 1, 15, 1, 0]"
14332,ড্রামস্টার্ট,dram.start ,dramstart ,"[17, 16, 1, 14, 10, 11, 1, 16, 11, 0]"
14333,এক দুনিয়া এক খেলা,æk d̪u.ni.a æk kʰæ.la ,ek dunia ek khela ,"[2, 18, 0, 17, 5, 15, 3, 1, 0, 2, 18, 0, 18, 9, 2, 13, 1, 0]"
14337,খুশিতে আত্মহারা হতাম,kʰu.ʃi.t̪e at̪.t̪õ.ha.ra ho.t̪am ,khushite attohara hotam ,"[18, 9, 5, 21, 3, 11, 2, 0, 1, 11, 11, 4, 9, 1, 16, 1, 0, 9, 4, 11, 1, 14, 0]"
14346,এই প্রশ্নে আমি যাব না,ei proʃ.ne a.mi ɟa.bo na ,ei proshne ami jabo na ,"[2, 3, 0, 7, 16, 4, 21, 15, 2, 0, 1, 14, 3, 0, 12, 1, 8, 4, 0, 15, 1, 0]"
14351,তারাও আমাদের টপকে গেছে,t̪a.ra.o a.ma.d̪er tɔp.ke gæ.cʰe ,tarao amader topke gechhe ,"[11, 1, 16, 1, 4, 0, 1, 14, 1, 17, 2, 16, 0, 11, 4, 7, 18, 2, 0, 6, 2, 20, 9, 2, 0]"
14352,যাওয়ারই কথা,ɟa.o.ja.ri kɔ.t̪ʰa ,jaoeari kotha ,"[12, 1, 4, 2, 1, 16, 3, 0, 18, 4, 11, 9, 1, 0]"
14356,ফুটবল ভালোবাসি,pʰut.bɔl bʰa.lo.ba.ʃi ,phutbol bhalobashi ,"[7, 9, 5, 11, 8, 4, 13, 0, 8, 9, 1, 13, 4, 8, 1, 21, 3, 0]"
14378,মহা আনন্দে মেতে ওঠে,mɔ.ha a.non.d̪e me.t̪e o.tʰe ,moha anonde mete othe ,"[14, 4, 9, 1, 0, 1, 15, 4, 15, 17, 2, 0, 14, 2, 11, 2, 0, 4, 11, 9, 2, 0]"
14388,নিউইয়র্ক,niu.i.jork ,niuieork ,"[15, 3, 5, 3, 2, 4, 16, 18, 0]"
14402,আ ন সা ন সি টি,ʃɔ.re.a d̪ɔn.t̪o.nɔ sa d̪ɔn.t̪o.nɔ si ti ,shorea dontono sa dontono si ti ,"[21, 4, 16, 2, 1, 0, 17, 4, 15, 11, 4, 15, 4, 0, 10, 1, 0, 17, 4, 15, 11, 4, 15, 4, 0, 10, 3, 0, 11, 3, 0]"
14412,আমি সংসারের বড় ছেলে,a.mi ʃɔŋ.ʃa.rer bɔ.ɾo cʰe.le ,ami shongsharer boro chhele ,"[1, 14, 3, 0, 21, 4, 19, 21, 1, 16, 2, 16, 0, 8, 4, 16, 4, 0, 20, 9, 2, 13, 2, 0]"
14417,হায়রে পাষাণ অর্থ,haj.re pa.ʃan ɔrt̪.t̪ʰo ,haere pashan orttho ,"[9, 1, 2, 16, 2, 0, 7, 1, 21, 1, 15, 0, 4, 16, 11, 11, 9, 4, 0]"
14418,হয়ে গেলাম প্রবাসী,ho.je ge.lam pro.ba.ʃi ,hoee gelam probashi ,"[9, 4, 2, 2, 0, 6, 2, 13, 1, 14, 0, 7, 16, 4, 8, 1, 21, 3, 0]"
14431,বছর হয়,bɔ.cʰor hɔj ,bochhor hoe ,"[8, 4, 20, 9, 4, 16, 0, 9, 4, 2, 0]"
14438,কিন্তু কত দিন,kin.t̪u kɔ.t̪o d̪in ,kintu koto din ,"[18, 3, 15, 11, 5, 0, 18, 4, 11, 4, 0, 17, 3, 15, 0]"
14448,এভাবে কি জীবন চলে,e.bʰa.be ki ɟi.bɔn cɔ.le ,ebhabe ki jibon chole ,"[2, 8, 9, 1, 8, 2, 0, 18, 3, 0, 12, 3, 8, 4, 15, 0, 20, 4, 13, 2, 0]"
14449,চলতে পারে,col.t̪e pa.re ,cholte pare ,"[20, 4, 13, 11, 2, 0, 7, 1, 16, 2, 0]"
14455,এস এম হারুনর রশীদ,es æm ha.ru.nɔr ro.ʃid̪ ,es em harunor roshid ,"[2, 10, 0, 2, 14, 0, 9, 1, 16, 5, 15, 4, 16, 0, 16, 4, 21, 3, 17, 0]"
14456,লন্ডন,lɔn.don ,london ,"[13, 4, 15, 17, 4, 15, 0]"
14457,বিলেতের গল্প...,bi.le.t̪er gɔl.po ,bileter golpo ,"[8, 3, 13, 2, 11, 2, 16, 0, 6, 4, 13, 7, 4, 0]"
14466,সাত আর তেরো,ʃat̪ ar t̪æ.ro ,shat ar tero ,"[21, 1, 11, 0, 1, 16, 0, 11, 2, 16, 4, 0]"
14485,সে অন্য গল্প,ʃe on.no gɔl.po ,she onno golpo ,"[21, 2, 0, 4, 15, 15, 4, 0, 6, 4, 13, 7, 4, 0]"
14488,সেটি অর্থনৈতিক,ʃe.ti ɔr.t̪ʰo.noi.t̪ik ,sheti orthonoitik ,"[21, 2, 11, 3, 0, 4, 16, 11, 9, 4, 15, 4, 3, 11, 3, 18, 0]"
14493,দেশে গিয়ে ব্যবসা করব,d̪e.ʃe gi.e bæ.bo.ʃa kor.bo ,deshe gie bebosha korbo ,"[17, 2, 21, 2, 0, 6, 3, 2, 0, 8, 2, 8, 4, 21, 1, 0, 18, 4, 16, 8, 4, 0]"
14494,এই বলাটুকুই সার,ei bɔ.la.tu.kui ʃar ,ei bolatukui shar ,"[2, 3, 0, 8, 4, 13, 1, 11, 5, 18, 5, 3, 0, 21, 1, 16, 0]"
14507,তিনি তো এই দেশেই আছেন,t̪i.ni t̪o ei d̪e.ʃei a.cʰen ,tini to ei deshei achhen ,"[11, 3, 15, 3, 0, 11, 4, 0, 2, 3, 0, 17, 2, 21, 2, 3, 0, 1, 20, 9, 2, 15, 0]"
14508,তখন লজ্জিত হতে হয়,t̪ɔ.kʰon loɟ.ɟi.t̪o ho.t̪e hɔj ,tokhon lojjito hote hoe ,"[11, 4, 18, 9, 4, 15, 0, 13, 4, 12, 12, 3, 11, 4, 0, 9, 4, 11, 2, 0, 9, 4, 2, 0]"
14509,বাবার কাছে লজ্জা,ba.bar ka.cʰe lɔɟ.ɟa ,babar kachhe lojja ,"[8, 1, 8, 1, 16, 0, 18, 1, 20, 9, 2, 0, 13, 4, 12, 12, 1, 0]"
14511,তবুও ফিরে আসতে হয়,t̪o.bu.o pʰi.re aʃ.t̪e hɔj ,tobuo phire ashte hoe ,"[11, 4, 8, 5, 4, 0, 7, 9, 3, 16, 2, 0, 1, 21, 11, 2, 0, 9, 4, 2, 0]"
14518,তারা কেবল বাঙালি নন,t̪a.ra ke.bɔl ba.ŋa.li nɔn ,tara kebol bangali non ,"[11, 1, 16, 1, 0, 18, 2, 8, 4, 13, 0, 8, 1, 19, 1, 13, 3, 0, 15, 4, 15, 0]"
14521,কিন্তু সেই চেষ্টায় যাননি,kin.t̪u ʃei ceʃ.taj ɟan.ni ,kintu shei cheshtae janni ,"[18, 3, 15, 11, 5, 0, 21, 2, 3, 0, 20, 2, 21, 11, 1, 2, 0, 12, 1, 15, 15, 3, 0]"
14529,সায়েম চৌধুরী,sa.jem cou.d̪ʰu.ri ,saeem choudhuri ,"[10, 1, 2, 2, 14, 0, 20, 4, 5, 17, 9, 5, 16, 3, 0]"
14541,নিউইয়র্ক থেকে এনা,niu.i.jork t̪ʰe.ke e.na ,niuieork theke ena ,"[15, 3, 5, 3, 2, 4, 16, 18, 0, 11, 9, 2, 18, 2, 0, 2, 15, 1, 0]"
15031,অনেক শিশু নষ্ট হয়েছে,ɔ.nek ʃi.ʃu nɔʃ.to he.je.cʰe ,onek shishu noshto heeechhe ,"[4, 15, 2, 18, 0, 21, 3, 21, 5, 0, 15, 4, 21, 11, 4, 0, 9, 2, 2, 2, 20, 9, 2, 0]"
15034,"দু'টি ছেলে, তিনটি মেয়ে",d̪u ti cʰe.le t̪in.ti me.e ,du ti chhele tinti mee ,"[17, 5, 0, 11, 3, 0, 20, 9, 2, 13, 2, 0, 11, 3, 15, 11, 3, 0, 14, 2, 2, 0]"
15039,তখন আমি পরীক্ষা শুরু করেছি,t̪ɔ.kʰon a.mi po.rik.kʰa ʃu.ru ko.re.cʰi ,tokhon ami porikkha shuru korechhi ,"[11, 4, 18, 9, 4, 15, 0, 1, 14, 3, 0, 7, 4, 16, 3, 18, 18, 9, 1, 0, 21, 5, 16, 5, 0, 18, 4, 16, 2, 20, 9, 3, 0]"
15049,আমি এখানে অপেক্ষা করি,a.mi e.kʰa.ne ɔ.pek.kʰa ko.ri ,ami ekhane opekkha kori ,"[1, 14, 3, 0, 2, 18, 9, 1, 15, 2, 0, 4, 7, 2, 18, 18, 9, 1, 0, 18, 4, 16, 3, 0]"
15051,গাছটাই বুঝি ভালো ছিল”,gacʰ.tai bu.ɟʰi bʰa.lo cʰi.lo ,gachhtai bujhi bhalo chhilo ,"[6, 1, 20, 9, 11, 1, 3, 0, 8, 5, 12, 9, 3, 0, 8, 9, 1, 13, 4, 0, 20, 9, 3, 13, 4, 0]"
15053,না করলে কেমন করে হবে,na kor.le kæ.mon ko.re hɔ.be ,na korle kemon kore hobe ,"[15, 1, 0, 18, 4, 16, 13, 2, 0, 18, 2, 14, 4, 15, 0, 18, 4, 16, 2, 0, 9, 4, 8, 2, 0]"
15055,তুমি এটি দেখবে না,t̪u.mi e.ti d̪ækʰ.be na ,tumi eti dekhbe na ,"[11, 5, 14, 3, 0, 2, 11, 3, 0, 17, 2, 18, 9, 8, 2, 0, 15, 1, 0]"
