Bangla,IPA,CMUBETs
অর্থাৎ স্বাভাবিক দৈনন্দিন খাবার খাওয়ার পর ফলা খাওয়া উচিত,ɔrt̪.t̪ʰat̪ ʃa.bʰa.bik d̪oi.non.d̪in kʰa.bar kʰa.oar pɔr pʰɔ.la kʰaoa u.cit̪ ,AO R T T AA T SIL SH AA B AA B IH K SIL D OW IH N OW N D IH N SIL K AA B AA R SIL K AA OW AA R SIL P AO R SIL P AO L AA SIL K AA OW AA SIL UW IH T
ফলের ব্যবহার,pʰɔ.ler bæ.bo.har ,P AO L EY R SIL B AE B OW HH AA R
শরীর ধরে রাখার জন্য এর কোনো বিকল্প নেই,ʃo.rir d̪ʰɔ.re ra.kʰar ɟon.no er ko.no bi.kɔl.po nei ,SH OW R IH R SIL D AO R EY SIL R AA K AA R SIL JH OW N N OW SIL EY R SIL K OW N OW SIL B IH K AO L P OW SIL N EY IH
ফলে যে সুগার থাকে তা মানুষের এনার্জি লেবেলকে অনেক চাঙ্গা রাখে,pʰɔ.le ɟe su.gar t̪ʰa.ke t̪a ma.nu.ʃer e.nar.ɟi le.bel.ke ɔ.nek caŋ.ga ra.kʰe ,P AO L EY SIL JH EY SIL S UW AA R SIL T AA K EY SIL T AA SIL M AA N UW SH EY R SIL EY N AA R JH IH SIL L EY B EY L K EY SIL AO N EY K SIL AA NG AA SIL R AA K EY
"আবার এ রকমও বলা হয়ে থাকে, ফলাহারে চুল পাকা বন্ধ হয়, মাথার চুল গজাতেও সাহায্য করে",a.bar e rɔ.kom.o bɔ.la ho.je t̪ʰa.ke pʰɔ.la.ha.re cul pa.ka bɔn.d̪ʰo hɔj ma.t̪ʰar cul gɔ.ɟa.t̪e.o ʃa.haɟ.ɟo ko.re ,AA B AA R SIL EY SIL R AO K OW M OW SIL B AO L AA SIL HH OW Y EY SIL T AA K EY SIL P AO L AA HH AA R EY SIL UW L SIL P AA K AA SIL B AO N D OW SIL HH AO Y SIL M AA T AA R SIL UW L SIL AO JH AA T EY OW SIL SH AA HH AA JH JH OW SIL K OW R EY
চোখের নিচে কালিও দূর করে,co.kʰer ni.ce ka.li.o d̪ur ko.re ,OW K EY R SIL N IH EY SIL K AA L IH OW SIL D UW R SIL K OW R EY
এমনকি নার্ভাস হলেও ফলাহারি লোকজন সহজে পার পেয়ে যায়,æ.mon.ki nar.bʰas ho.leo pʰɔ.la.ha.ri lok.ɟon ʃɔ.ho.ɟe par pe.e ɟaj ,AE M OW N K IH SIL N AA R B AA S SIL HH OW L EY OW SIL P AO L AA HH AA R IH SIL L OW K JH OW N SIL SH AO HH OW JH EY SIL P AA R SIL P EY EY SIL JH AA Y
কোন ফলে কি ফল,kon pʰɔ.le ki pʰɔl ,K OW N SIL P AO L EY SIL K IH SIL P AO L
আমাদের প্রতিদিনের খাদ্য তালিকায় প্রচুর পরিমাণে রান্না করা খাবার খাই,a.ma.d̪er pro.t̪i.d̪i.ner kʰad̪.d̪o t̪a.li.kaj pro.cur po.ri.ma.ne ran.na kɔ.ra kʰa.bar kʰai ,AA M AA D EY R SIL P R OW T IH D IH N EY R SIL K AA D D OW SIL T AA L IH K AA Y SIL P R OW UW R SIL P OW R IH M AA N EY SIL R AA N N AA SIL K AO R AA SIL K AA B AA R SIL K AA IH
এতে করে প্রায় প্রতিটি খাবারের আসল গুণাগুণ নষ্ট হয়ে যায়,e.t̪e ko.re praj pro.t̪i.ti kʰa.ba.rer a.ʃol gu.na.gun nɔʃ.to ho.je ɟaj ,EY T EY SIL K OW R EY SIL P R AA Y SIL P R OW T IH T IH SIL K AA B AA R EY R SIL AA SH OW L SIL UW N AA UW N SIL N AO SH T OW SIL HH OW Y EY SIL JH AA Y
তবে ফলের ক্ষেত্রে আমাদের এ কাজটি করতে হয় না,t̪ɔ.be pʰɔ.ler kʰet̪.t̪re a.ma.d̪er e kaɟ.ti kor.t̪e hɔj na ,T AO B EY SIL P AO L EY R SIL K EY T T R EY SIL AA M AA D EY R SIL EY SIL K AA JH T IH SIL K OW R T EY SIL HH AO Y SIL N AA
আমরা যে কোনো ফলই গাছ থেকে পেড়ে শুধু ধুয়ে খেয়ে ফেলতে পারি,am.ra ɟe ko.no pʰɔ.loi gacʰ t̪ʰe.ke pe.ɾe ʃu.d̪ʰu d̪ʰu.je kʰe.je pʰel.t̪e pa.ri ,AA M R AA SIL JH EY SIL K OW N OW SIL P AO L OW IH SIL AA SIL T EY K EY SIL P EY DX EY SIL SH UW D UW SIL D UW Y EY SIL K EY Y EY SIL P EY L T EY SIL P AA R IH
যেটা মাছ-মাংস অথবা অনেক শাকসবজির ক্ষেত্রেই সম্ভব নয়,ɟe.ta macʰ maŋ.ʃo ɔ.t̪ʰo.ba ɔ.nek ʃak.ʃob.ɟir kʰet̪.t̪rei ʃɔm.bʰɔb nɔj ,JH EY T AA SIL M AA SIL M AA NG SH OW SIL AO T OW B AA SIL AO N EY K SIL SH AA K SH OW B JH IH R SIL K EY T T R EY IH SIL SH AO M B AO B SIL N AO Y
আমাদের দেশে যে মৌসুমি ফলগুলো পাওয়া যায় সেগুলো শুরুর দিকে বাজারে চড়া দাম থাকে,a.ma.d̪er d̪e.ʃe ɟe mou.ʃu.mi pʰɔl.gu.lo pao.a ɟaj ʃe.gu.lo ʃu.rur d̪i.ke ba.ɟa.re cɔ.ɾa d̪am t̪ʰa.ke ,AA M AA D EY R SIL D EY SH EY SIL JH EY SIL M OW UW SH UW M IH SIL P AO L UW L OW SIL P AA OW AA SIL JH AA Y SIL SH EY UW L OW SIL SH UW R UW R SIL D IH K EY SIL B AA JH AA R EY SIL AO DX AA SIL D AA M SIL T AA K EY
"তবে সারা বছর যেসব ফল বাজারে থাকে যেমন-কলা, পেঁপে, আপেল-এ জাতীয় ফল কিন্তু আমরা ইচ্ছে করলেই পাই",t̪ɔ.be ʃa.ra bɔ.cʰor ɟe.ʃɔb pʰɔl ba.ɟa.re t̪ʰa.ke ɟæ.mon kɔ.la pẽ.pe a.pel e ɟa.t̪i.o pʰɔl kin.t̪u am.ra ic.che kor.lei pai ,T AO B EY SIL SH AA R AA SIL B AO OW R SIL JH EY SH AO B SIL P AO L SIL B AA JH AA R EY SIL T AA K EY SIL JH AE M OW N SIL K AO L AA SIL P EY P EY SIL AA P EY L SIL EY SIL JH AA T IH OW SIL P AO L SIL K IH N T UW SIL AA M R AA SIL IH HH EY SIL K OW R L EY IH SIL P AA IH
প্রতিদিনের বাজারে চাইলেই এগুলো রাখতে পারি,pro.t̪i.d̪i.ner ba.ɟa.re cai.lei e.gu.lo rakʰ.t̪e pa.ri ,P R OW T IH D IH N EY R SIL B AA JH AA R EY SIL AA IH L EY IH SIL EY UW L OW SIL R AA K T EY SIL P AA R IH
আমরা সারা দিনে অন্যান্য খাবারে যে ব্যয় করি তা থেকে একটা অংশ ফলের তালিকায় রাখতেই পারি,am.ra ʃa.ra d̪i.ne on.næn.no kʰa.ba.re ɟe bæj ko.ri t̪a t̪ʰe.ke æk.ta ɔŋ.ʃo pʰɔ.ler t̪a.li.kaj rakʰ.t̪ei pa.ri ,AA M R AA SIL SH AA R AA SIL D IH N EY SIL OW N N AE N N OW SIL K AA B AA R EY SIL JH EY SIL B AE Y SIL K OW R IH SIL T AA SIL T EY K EY SIL AE K T AA SIL AO NG SH OW SIL P AO L EY R SIL T AA L IH K AA Y SIL R AA K T EY IH SIL P AA R IH
আমাদের মস্তিষ্কের খাদ্য হিসেবেও ফলের জুড়ি মেলা কঠিন,a.ma.d̪er mos.t̪iʃ.ker kʰad̪.d̪o hi.ʃe.beo pʰɔ.ler ɟu.ɾi me.la ko.tʰin ,AA M AA D EY R SIL M OW S T IH SH K EY R SIL K AA D D OW SIL HH IH SH EY B EY OW SIL P AO L EY R SIL JH UW DX IH SIL M EY L AA SIL K OW T IH N
কোনো রোগীকে দেখতে গেলে আমরা কেন ফল নিয়ে যাই,ko.no ro.gi.ke d̪ekʰ.t̪e ge.le am.ra kæ.no pʰɔl ni.je ɟai ,K OW N OW SIL R OW IH K EY SIL D EY K T EY SIL EY L EY SIL AA M R AA SIL K AE N OW SIL P AO L SIL N IH Y EY SIL JH AA IH
কেননা আমরা জানি এটিই একটি উপাদান যা কিনা নির্ভেজালভাবে রোগীর শরীরে কাজ করবে এবং তাকে দ্রুত সারিয়ে তুলতে সাহায্য করবে,kæ.no.na am.ra ɟa.ni e.ti.i ek.ti u.pa.d̪an ɟa ki.na nir.bʰe.ɟal.bʰa.be ro.gir ʃo.ri.re kaɟ kor.be e.bɔŋ t̪a.ke d̪ru.t̪o ʃa.ri.je t̪ul.t̪e ʃa.haɟ.ɟo kor.be ,K AE N OW N AA SIL AA M R AA SIL JH AA N IH SIL EY T IH IH SIL EY K T IH SIL UW P AA D AA N SIL JH AA SIL K IH N AA SIL N IH R B EY JH AA L B AA B EY SIL R OW IH R SIL SH OW R IH R EY SIL K AA JH SIL K OW R B EY SIL EY B AO NG SIL T AA K EY SIL D R UW T OW SIL SH AA R IH Y EY SIL T UW L T EY SIL SH AA HH AA JH JH OW SIL K OW R B EY
আমাদের মধ্যে যদি কোনো ডিপ্রেশন কাজ করে তাহলে কিছু খেতে ইচ্ছা না হলেও ফলের ক্ষেত্রে খুব বেশি অরুচি হয় না,a.ma.d̪er mod̪.d̪ʰe ɟo.d̪i ko.no dip.pre.ʃɔn kaɟ ko.re t̪a.ho.le ki.cʰu kʰe.t̪e ic.cʰa na ho.leo pʰɔ.ler kʰet̪.t̪re kʰub be.ʃi ɔ.ru.ci hɔj na ,AA M AA D EY R SIL M OW D D EY SIL JH OW D IH SIL K OW N OW SIL D IH P P R EY SH AO N SIL K AA JH SIL K OW R EY SIL T AA HH OW L EY SIL K IH UW SIL K EY T EY SIL IH AA SIL N AA SIL HH OW L EY OW SIL P AO L EY R SIL K EY T T R EY SIL K UW B SIL B EY SH IH SIL AO R UW IH SIL HH AO Y SIL N AA
এমনকি আমাদের সৌন্দর্য বৃদ্ধিতে নানা উপায়ে ফলের ব্যবহার হয়ে থাকে,æ.mon.ki a.ma.d̪er ʃoun.d̪ɔrɟ.ɟo brid̪.d̪ʰi.t̪e na.na u.pa.je pʰɔ.ler bæ.bo.har ho.je t̪ʰa.ke ,AE M OW N K IH SIL AA M AA D EY R SIL SH OW UW N D AO R JH JH OW SIL B R IH D D IH T EY SIL N AA N AA SIL UW P AA Y EY SIL P AO L EY R SIL B AE B OW HH AA R SIL HH OW Y EY SIL T AA K EY
"বিভিন্ন ধরনের ক্রিম, লোশন, পারফিউমের ক্ষেত্রে ফলের নির্যাস ব্যবহৃত হয়",bi.bʰin.no d̪ʰɔ.ro.ner krim lo.ʃɔn par.pʰiu.mer kʰet̪.t̪re pʰɔ.ler nirɟ.ɟaʃ bæ.bo.hri.t̪o hɔj ,B IH B IH N N OW SIL D AO R OW N EY R SIL K R IH M SIL L OW SH AO N SIL P AA R P IH UW M EY R SIL K EY T T R EY SIL P AO L EY R SIL N IH R JH JH AA SH SIL B AE B OW HH R IH T OW SIL HH AO Y
একনজরে-,æk.nɔ.ɟo.re ,AE K N AO JH OW R EY
ফল ১০০% ক্ষতিকর কোলেস্টেরলমুক্ত,pʰɔl ʃɔt̪.kɔ.ra æk.ʃo kʰo.t̪i.kɔr ko.les.te.rol.muk.t̪o ,P AO L SIL SH AO T K AO R AA SIL AE K SH OW SIL K OW T IH K AO R SIL K OW L EY S T EY R OW L M UW K T OW
মস্তিষ্কের প্রধান খাদ্য,mos.t̪iʃ.ker pro.d̪ʰan kʰad̪.d̪o ,M OW S T IH SH K EY R SIL P R OW D AA N SIL K AA D D OW
সবচেয়ে কম সময়ে শরীরে পৌঁছে যায়,ʃɔb.ce.je kɔm ʃɔ.mɔ.je ʃo.ri.re põu.cʰe ɟaj ,SH AO B EY Y EY SIL K AO M SIL SH AO M AO Y EY SIL SH OW R IH R EY SIL P OW UW EY SIL JH AA Y
উচ্চ রক্তচাপ ও হৃদরোগের ক্ষেত্রে দমনকারী হিসেবে কাজ করে,uc.co rɔk.t̪o.cap o hrid̪.ro.ger kʰet̪.t̪re d̪ɔ.mon.ka.ri hi.ʃe.be kaɟ ko.re ,UW OW SIL R AO K T OW AA P SIL OW SIL HH R IH D R OW EY R SIL K EY T T R EY SIL D AO M OW N K AA R IH SIL HH IH SH EY B EY SIL K AA JH SIL K OW R EY
দিনের শুরু ও শেষের খাদ্য তালিকায় ফল থাকলে দীর্ঘজীবী হতে সাহায্য করে,d̪i.ner ʃu.ru o ʃe.ʃer kʰad̪.d̪o t̪a.li.kaj pʰɔl t̪ʰak.le d̪irg.gʰo.ɟi.bi ho.t̪e ʃa.haɟ.ɟo ko.re ,D IH N EY R SIL SH UW R UW SIL OW SIL SH EY SH EY R SIL K AA D D OW SIL T AA L IH K AA Y SIL P AO L SIL T AA K L EY SIL D IH R OW JH IH B IH SIL HH OW T EY SIL SH AA HH AA JH JH OW SIL K OW R EY
জাম,ɟam ,JH AA M
পানীয় জাতীয় খাবারের মধ্যে জাম অন্যতম,pa.ni.o ɟa.t̪i.o kʰa.ba.rer mod̪.d̪ʰe ɟam on.no.t̪ɔ.mo ,P AA N IH OW SIL JH AA T IH OW SIL K AA B AA R EY R SIL M OW D D EY SIL JH AA M SIL OW N N OW T AO M OW
কিন্তু জাম খুবই অল্প সময়ের ফল,kin.t̪u ɟam kʰub.i ɔl.po ʃɔ.mɔ.jer pʰɔl ,K IH N T UW SIL JH AA M SIL K UW B IH SIL AO L P OW SIL SH AO M AO Y EY R SIL P AO L
সর্বোচ্চ এক মাস পর্যন্ত জাম পাওয়া যায়,ʃɔr.boc.co æk maʃ pɔrɟ.ɟon.t̪o ɟam pao.a ɟaj ,SH AO R B OW OW SIL AE K SIL M AA SH SIL P AO R JH JH OW N T OW SIL JH AA M SIL P AA OW AA SIL JH AA Y
জামের উপাদানের মধ্যে বিশেষ করে আয়রন এ্যানিমিয়া প্রতিরোধের জন্য খুবই উপকারী,ɟa.mer u.pa.d̪a.ner mod̪.d̪ʰe bi.ʃeʃ ko.re aj.ron æ.ni.mi.ja pro.t̪i.ro.d̪ʰer ɟon.no kʰub.i u.po.ka.ri ,JH AA M EY R SIL UW P AA D AA N EY R SIL M OW D D EY SIL B IH SH EY SH SIL K OW R EY SIL AA Y R OW N SIL AE N IH M IH Y AA SIL P R OW T IH R OW D EY R SIL JH OW N N OW SIL K UW B IH SIL UW P OW K AA R IH
জামকে ক্যালরি নিয়ন্ত্রণকারী খাবার বলা হয়,ɟam.ke kæ.lo.ri ni.jɔn.t̪ron.ka.ri kʰa.bar bɔ.la hɔj ,JH AA M K EY SIL K AE L OW R IH SIL N IH Y AO N T R OW N K AA R IH SIL K AA B AA R SIL B AO L AA SIL HH AO Y
তবে যাদের উচ্চ রক্তচাপ বা হাইপারটেনশন রয়েছে তাদের জন্য জাম কম খাওয়াই ভালো,t̪ɔ.be ɟa.d̪er uc.co rɔk.t̪o.cap ba hai.par.ten.ʃɔn ro.je.cʰe t̪a.d̪er ɟon.no ɟam kɔm kʰa.oa.i bʰa.lo ,T AO B EY SIL JH AA D EY R SIL UW OW SIL R AO K T OW AA P SIL B AA SIL HH AA IH P AA R T EY N SH AO N SIL R OW Y EY EY SIL T AA D EY R SIL JH OW N N OW SIL JH AA M SIL K AO M SIL K AA OW AA IH SIL B AA L OW
কারণ জাম উচ্চ রক্তচাপ বাড়িয়ে দেয়,ka.ron ɟam uc.co rɔk.t̪o.cap ba.ɾi.je d̪e.o ,K AA R OW N SIL JH AA M SIL UW OW SIL R AO K T OW AA P SIL B AA DX IH Y EY SIL D EY OW
বেল,bel ,B EY L
পানিস্বল্পতা বা পিপাসায় সবার কাছেই বেলের সরবত আকর্ষণীয় একটি পানীয়,pa.ni.ʃɔl.po.t̪a ba pi.pa.ʃaj ʃɔ.bar ka.cʰei be.ler ʃɔr.bot̪ a.kɔrʃ.ʃo.ni.o ek.ti pa.ni.o ,P AA N IH SH AO L P OW T AA SIL B AA SIL P IH P AA SH AA Y SIL SH AO B AA R SIL K AA EY IH SIL B EY L EY R SIL SH AO R B OW T SIL AA K AO R SH SH OW N IH OW SIL EY K T IH SIL P AA N IH OW
আমরা যদি খালি পেটে সকালে বেলের শরবত খাই তবে তা আমাদের জন্য খুবই উপকারী,am.ra ɟo.d̪i kʰa.li pe.te ʃɔ.ka.le be.ler ʃɔr.bot̪ kʰai t̪ɔ.be t̪a a.ma.d̪er ɟon.no kʰub.i u.po.ka.ri ,AA M R AA SIL JH OW D IH SIL K AA L IH SIL P EY T EY SIL SH AO K AA L EY SIL B EY L EY R SIL SH AO R B OW T SIL K AA IH SIL T AO B EY SIL T AA SIL AA M AA D EY R SIL JH OW N N OW SIL K UW B IH SIL UW P OW K AA R IH
কনস্টিপেশনে বেলের শরবতের কোনো তুলনা নেই,kɔns.ti.pe.ʃɔ.ne be.ler ʃɔr.bɔ.t̪er ko.no ɔ.t̪u.lo.na nei ,K AO N S T IH P EY SH AO N EY SIL B EY L EY R SIL SH AO R B AO T EY R SIL K OW N OW SIL AO T UW L OW N AA SIL N EY IH
লিচু,li.cu ,L IH UW
গ্রীষ্মের আরেকটি রসালো ফল লিচু,griʃ.ʃer a.rek.ti rɔ.ʃa.lo pʰɔl li.cu ,R IH SH SH EY R SIL AA R EY K T IH SIL R AO SH AA L OW SIL P AO L SIL L IH UW
লিচুতে পানির ভাগ থাকে খুব বেশি,li.cu.t̪e pa.nir bʰag t̪ʰa.ke kʰub be.ʃi ,L IH UW T EY SIL P AA N IH R SIL B AA SIL T AA K EY SIL K UW B SIL B EY SH IH
লিচুতে প্রায় ৮৫% পানি থাকে,li.cu.t̪e praj ʃɔt̪.kɔ.ra pɔ̃.ca.ʃi pa.ni t̪ʰa.ke ,L IH UW T EY SIL P R AA Y SIL SH AO T K AO R AA SIL P AO AA SH IH SIL P AA N IH SIL T AA K EY
পানিশূন্য ভাব কাটানোর জন্য লিচু খুব দরকারি একটা ফল,pa.ni.ʃun.no bʰab ka.ta.nor ɟon.no li.cu kʰub d̪ɔr.ka.ri æk.ta pʰɔl ,P AA N IH SH UW N N OW SIL B AA B SIL K AA T AA N OW R SIL JH OW N N OW SIL L IH UW SIL K UW B SIL D AO R K AA R IH SIL AE K T AA SIL P AO L
বাঙ্গি,baŋ.gi ,B AA NG IH
বাঙ্গি হচ্ছে এমন একটা খাবার যা যেকোনো রোগী নির্দ্বিধায় খেতে পারেন,baŋ.gi hoc.cʰe æ.mon æk.ta kʰa.bar ɟa ɟo.ko.no ro.gi nir.d̪i.d̪ʰaj kʰe.t̪e pa.ren ,B AA NG IH SIL HH OW EY SIL AE M OW N SIL AE K T AA SIL K AA B AA R SIL JH AA SIL JH OW K OW N OW SIL R OW IH SIL N IH R D IH D AA Y SIL K EY T EY SIL P AA R EY N
বাঙ্গিতে খুব সামান্য পরিমাণে ক্যালরি থাকে,baŋ.gi.t̪e kʰub ʃa.man.no po.ri.ma.ne kæ.lo.ri t̪ʰa.ke ,B AA NG IH T EY SIL K UW B SIL SH AA M AA N N OW SIL P OW R IH M AA N EY SIL K AE L OW R IH SIL T AA K EY
বাঙ্গিও পানিশূন্যতা রোধে খুব ভালো কাজ করে,baŋ.gi.o pa.ni.ʃun.no.t̪a ro.d̪ʰe kʰub bʰa.lo kaɟ ko.re ,B AA NG IH OW SIL P AA N IH SH UW N N OW T AA SIL R OW D EY SIL K UW B SIL B AA L OW SIL K AA JH SIL K OW R EY
তরমুজ,t̪or.muɟ ,T OW R M UW JH
রসালো এবং পানি জাতীয় ফলের মধ্যে সবচেয়ে বেশি পরিমাণে পানি ধারণ করে তরমুজ,rɔ.ʃa.lo e.bɔŋ pa.ni ɟa.t̪i.o pʰɔ.ler mod̪.d̪ʰe ʃɔb.ce.je be.ʃi po.ri.ma.ne pa.ni d̪ʰa.ron ko.re t̪or.muɟ ,R AO SH AA L OW SIL EY B AO NG SIL P AA N IH SIL JH AA T IH OW SIL P AO L EY R SIL M OW D D EY SIL SH AO B EY Y EY SIL B EY SH IH SIL P OW R IH M AA N EY SIL P AA N IH SIL D AA R OW N SIL K OW R EY SIL T OW R M UW JH
যার প্রায় ৯৬ শতাংশই হচ্ছে পানি,ɟar praj cʰi.a.nob.boi ʃɔ.t̪aŋ.ʃoi hoc.cʰe pa.ni ,JH AA R SIL P R AA Y SIL IH AA N OW B B OW IH SIL SH AO T AA NG SH OW IH SIL HH OW EY SIL P AA N IH
হিটস্ট্রোক রোগীদের জন্য তরমুজ একটি আদর্শ ফল,hit.strok ro.gi.d̪er ɟon.no t̪or.muɟ ek.ti a.d̪orʃ.ʃo pʰɔl ,HH IH T S T R OW K SIL R OW IH D EY R SIL JH OW N N OW SIL T OW R M UW JH SIL EY K T IH SIL AA D OW R SH SH OW SIL P AO L
তরমুজ শরীরে অনেকক্ষণ পানি ধরে রাখে,t̪or.muɟ ʃo.ri.re ɔ.nek.kʰɔn pa.ni d̪ʰɔ.re ra.kʰe ,T OW R M UW JH SIL SH OW R IH R EY SIL AO N EY K K AO N SIL P AA N IH SIL D AO R EY SIL R AA K EY
এ মৌসুমে তরমুজ যে যত বেশি খুশি খেতে পারেন নির্ভয়ে,e mou.ʃu.me t̪or.muɟ ɟe ɟɔ.t̪o be.ʃi kʰu.ʃi kʰe.t̪e pa.ren nirb.bʰɔj.e ,EY SIL M OW UW SH UW M EY SIL T OW R M UW JH SIL JH EY SIL JH AO T OW SIL B EY SH IH SIL K UW SH IH SIL K EY T EY SIL P AA R EY N SIL N IH R B B AO Y EY
আম,am ,AA M
মধু মাসের ফলের মধ্যে প্রথমেই যার নাম আসে সেটি হলো আম,mo.d̪ʰu ma.ʃer pʰɔ.ler mod̪.d̪ʰe pro.t̪ʰo.mei ɟar nam a.ʃe ʃe.ti ho.lo am ,M OW D UW SIL M AA SH EY R SIL P AO L EY R SIL M OW D D EY SIL P R OW T OW M EY IH SIL JH AA R SIL N AA M SIL AA SH EY SIL SH EY T IH SIL HH OW L OW SIL AA M
পাকা আম খাওয়ার ব্যাপারে ডায়াবেটিস রোগীদের ক্ষেত্রে একটা নিষেধাজ্ঞা থাকে,pa.ka am kʰa.oar bæ.pa.re da.ja.be.tis ro.gi.d̪er kʰet̪.t̪re æk.ta ni.ʃe.d̪ʰag.ga t̪ʰa.ke ,P AA K AA SIL AA M SIL K AA OW AA R SIL B AE P AA R EY SIL D AA Y AA B EY T IH S SIL R OW IH D EY R SIL K EY T T R EY SIL AE K T AA SIL N IH SH EY D AA AA SIL T AA K EY
তবে পরিমাণমতো খেতে পারবেন,t̪ɔ.be po.ri.man.mɔ.t̪o kʰe.t̪e par.ben ,T AO B EY SIL P OW R IH M AA N M AO T OW SIL K EY T EY SIL P AA R B EY N
পাকা আম গ্রীষ্মকালের একটা বেশ উপকরণ ফল কারণ এতে পানির ভাগ বেশি থাকে,pa.ka am griʃ.ʃõ.ka.ler æk.ta beʃ u.po.kɔ.ron pʰɔl ka.ron e.t̪e pa.nir bʰag be.ʃi t̪ʰa.ke ,P AA K AA SIL AA M SIL R IH SH SH OW K AA L EY R SIL AE K T AA SIL B EY SH SIL UW P OW K AO R OW N SIL P AO L SIL K AA R OW N SIL EY T EY SIL P AA N IH R SIL B AA SIL B EY SH IH SIL T AA K EY
তবে পাকা আমকে গরম ফল বলা হয়,t̪ɔ.be pa.ka am.ke gɔ.rom pʰɔl bɔ.la hɔj ,T AO B EY SIL P AA K AA SIL AA M K EY SIL AO R OW M SIL P AO L SIL B AO L AA SIL HH AO Y
পাকা আম খাওয়ার আগে যদি ফ্রিজিং করা সম্ভব না হয় তবে অন্ততঃ বালতির পানিতে ডুবিয়ে বেশ কিছুক্ষণ রেখে তারপর খাওয়া উচিত,pa.ka am kʰa.oar a.ge ɟo.d̪i pʰri.ɟiŋ kɔ.ra ʃɔm.bʰɔb na hɔj t̪ɔ.be ɔn.t̪o.t̪o bal.t̪ir pa.ni.t̪e du.bi.je beʃ ki.cʰuk.kʰon re.kʰe t̪ar.pɔr kʰaoa u.cit̪ ,P AA K AA SIL AA M SIL K AA OW AA R SIL AA EY SIL JH OW D IH SIL P R IH JH IH NG SIL K AO R AA SIL SH AO M B AO B SIL N AA SIL HH AO Y SIL T AO B EY SIL AO N T OW T OW SIL B AA L T IH R SIL P AA N IH T EY SIL D UW B IH Y EY SIL B EY SH SIL K IH UW K K OW N SIL R EY K EY SIL T AA R P AO R SIL K AA OW AA SIL UW IH T
আম খেলে ভালো ঘুম হয়,am kʰe.le bʰa.lo gʰum hɔj ,AA M SIL K EY L EY SIL B AA L OW SIL UW M SIL HH AO Y
"ডাক্তারের প্রেসক্রিপশনেও থাকে যে স্লিপিং পিলের পরিবর্তে বেশি করে আম খান, গ্রীষ্মের সময়",dak.t̪a.rer pres.krip.ʃɔ.neo t̪ʰa.ke ɟe sli.piŋ pi.ler po.ri.bɔr.t̪e be.ʃi ko.re am kʰan griʃ.ʃer ʃo.mɔj ,D AA K T AA R EY R SIL P R EY S K R IH P SH AO N EY OW SIL T AA K EY SIL JH EY SIL S L IH P IH NG SIL P IH L EY R SIL P OW R IH B AO R T EY SIL B EY SH IH SIL K OW R EY SIL AA M SIL K AA N SIL R IH SH SH EY R SIL SH OW M AO Y
কাঁঠাল,kã.tʰal ,K AA T AA L
বাংলাদেশের জাতীয় ফল কাঁঠাল,baŋ.la.d̪e.ʃer ɟa.t̪i.o pʰɔl kã.tʰal ,B AA NG L AA D EY SH EY R SIL JH AA T IH OW SIL P AO L SIL K AA T AA L
কাঁঠাল অনেকভাবে খাওয়া যায়,kã.tʰal ɔ.nek.bʰa.be kʰaoa ɟaj ,K AA T AA L SIL AO N EY K B AA B EY SIL K AA OW AA SIL JH AA Y
"ছোট, কাঁচা কাঁঠাল ভর্তা করে, রান্না করে খাওয়া যায়, কাঁঠালের একটা বিশেষ গুণ হলো কাঁঠালের বিচিটাও খাওয়া যায়",cʰo.to kã.ca kã.tʰal bʰɔrt̪.t̪a ko.re ran.na ko.re kʰaoa ɟaj kã.tʰa.ler æk.ta bi.ʃeʃ gun ho.lo kã.tʰa.ler bi.ci.tao kʰaoa ɟaj ,OW T OW SIL K AA AA SIL K AA T AA L SIL B AO R T T AA SIL K OW R EY SIL R AA N N AA SIL K OW R EY SIL K AA OW AA SIL JH AA Y SIL K AA T AA L EY R SIL AE K T AA SIL B IH SH EY SH SIL UW N SIL HH OW L OW SIL K AA T AA L EY R SIL B IH IH T AA OW SIL K AA OW AA SIL JH AA Y
কাঁঠালের বিচিতে প্রচুর প্রোটিন থাকে,kã.tʰa.ler bi.ci.t̪e pro.cur pro.tin t̪ʰa.ke ,K AA T AA L EY R SIL B IH IH T EY SIL P R OW UW R SIL P R OW T IH N SIL T AA K EY
ডালের ওপর যদি চাপ কমাতে চাই তাহলে কাঁঠালের বিচি আমরা ব্যবহার করতে পারি,da.ler o.pɔr ɟo.d̪i cap kɔ.ma.t̪e cai t̪a.ho.le kã.tʰa.ler bi.ci am.ra bæ.bo.har kor.t̪e pa.ri ,D AA L EY R SIL OW P AO R SIL JH OW D IH SIL AA P SIL K AO M AA T EY SIL AA IH SIL T AA HH OW L EY SIL K AA T AA L EY R SIL B IH IH SIL AA M R AA SIL B AE B OW HH AA R SIL K OW R T EY SIL P AA R IH
"এটি সংরক্ষণ করাও সহজ, কাঁঠাল ডায়াবেটিস রোগীরাও খেতে পারে",e.ti ʃɔŋ.rok.kʰon kɔ.ra.o ʃɔ.hoɟ kã.tʰal da.ja.be.tis ro.gi.rao kʰe.t̪e pa.re ,EY T IH SIL SH AO NG R OW K K OW N SIL K AO R AA OW SIL SH AO HH OW JH SIL K AA T AA L SIL D AA Y AA B EY T IH S SIL R OW IH R AA OW SIL K EY T EY SIL P AA R EY
তাল,t̪al ,T AA L
